#Pose	CONSRANK_U	CONSRANK	contact_log_sum	contact_square_sum	residue_sum	residue_average	residue_log_sum	residue_square_sum	residue_average_ligand	residue_average_receptor	residue_sum_ligand	residue_sum_receptor
1	1.4450000000000003	0.028900000000000006	-182.5958650490493	0.05237499999999997	11.374999999999998	0.3345588235294117	-41.682286336773785	4.463924999999999	0.41500000000000004	0.21964285714285717	8.3	3.075
2	3.7500000000000004	0.09146341463414635	-102.59949758115638	0.42379999999999995	13.78	0.44451612903225807	-26.47103236184255	6.562449999999998	0.4596666666666668	0.4303125000000001	6.895000000000001	6.885000000000002
3	3.8449999999999993	0.1039189189189189	-87.48059867360634	0.46342500000000003	10.285	0.38092592592592595	-30.004801763282625	4.694724999999999	0.47500000000000003	0.27961538461538465	6.65	3.6350000000000002
4	1.2750000000000004	0.029651162790697683	-154.7541229018051	0.04582499999999999	10.894999999999998	0.34046874999999993	-38.763515104355925	4.341524999999999	0.4273684210526316	0.21346153846153845	8.120000000000001	2.775
5	4.41	0.10500000000000001	-98.29784017836464	0.5309500000000001	12.360000000000001	0.38625000000000004	-33.48131140787867	5.493649999999999	0.4352777777777778	0.3232142857142857	7.835000000000001	4.5249999999999995
6	0.8050000000000005	0.021184210526315802	-148.90012014650668	0.018825	4.9350000000000005	0.17017241379310347	-53.481262304970535	0.943225	0.1303125	0.21923076923076928	2.085	2.8500000000000005
7	2.9950000000000006	0.09075757575757577	-82.84594983102949	0.3318249999999999	12.959999999999999	0.4468965517241379	-24.696185317885902	6.227899999999998	0.48000000000000004	0.4200000000000001	6.24	6.7200000000000015
8	3.9699999999999998	0.10729729729729728	-84.61261598087133	0.47	12.069999999999999	0.37718749999999995	-34.25141962957475	5.26455	0.42911764705882355	0.31833333333333325	7.295	4.774999999999999
9	0.8850000000000002	0.034038461538461545	-91.20030117838053	0.039325	6.565	0.32825000000000004	-25.842819370545396	2.817025	0.17	0.45772727272727276	1.53	5.035
10	2.3700000000000006	0.07181818181818184	-94.32242386084918	0.25305000000000005	11.674999999999995	0.4669999999999998	-19.78647473836886	5.724574999999999	0.462	0.47450000000000003	6.930000000000001	4.745
11	4.07	0.08306122448979593	-129.49407363953281	0.4377499999999999	14.324999999999998	0.42132352941176465	-31.32648374384613	6.619474999999998	0.44218750000000007	0.40277777777777785	7.075000000000001	7.250000000000001
12	2.715	0.08758064516129031	-80.51993853694322	0.30167499999999997	11.38	0.4376923076923077	-22.65292546013718	5.377049999999999	0.4657142857142858	0.405	6.520000000000001	4.86
13	2.885	0.08742424242424242	-85.1632522346156	0.317175	10.92	0.455	-20.274302732459837	5.3767	0.47000000000000003	0.43727272727272726	6.11	4.81
14	1.3600000000000003	0.030909090909090917	-156.8743864380052	0.05109999999999998	11.194999999999999	0.3392424242424242	-39.96748790868186	4.431524999999999	0.4273684210526316	0.21964285714285717	8.120000000000001	3.075
15	3.1100000000000003	0.0863888888888889	-93.04862297759487	0.3465	12.179999999999998	0.43499999999999994	-24.422403136466418	5.706199999999998	0.40499999999999997	0.465	5.67	6.510000000000001
16	3.9699999999999998	0.11342857142857142	-77.43215028733736	0.48415	11.929999999999998	0.3848387096774193	-32.28530677320192	5.24495	0.42911764705882355	0.3310714285714285	7.295	4.634999999999999
17	2.365	0.07390625	-92.27115319613605	0.2607750000000001	12.209999999999997	0.4696153846153845	-20.512993107293198	6.039549999999998	0.46821428571428575	0.4712500000000001	6.555000000000001	5.655000000000001
18	0.4650000000000002	0.01722222222222223	-112.61950295991713	0.009925000000000002	4.675000000000001	0.18700000000000003	-43.27124105396631	0.960175	0.16181818181818183	0.20678571428571432	1.7800000000000002	2.8950000000000005
19	5.785	0.09974137931034482	-142.5180971630964	0.687375	14.165	0.3828378378378378	-39.810594760704014	6.3535249999999985	0.41525	0.3447058823529411	8.305	5.8599999999999985
20	2.3049999999999997	0.06779411764705881	-97.00459171496962	0.204075	10.885	0.4535416666666667	-19.900863768564996	5.259124999999999	0.45	0.45653846153846167	4.95	5.935000000000001
21	5.01	0.11133333333333333	-102.37422015781192	0.6276999999999999	14.155000000000001	0.3825675675675676	-39.869435260726945	6.350124999999998	0.4278947368421053	0.33472222222222214	8.13	6.024999999999999
22	2.705000000000001	0.08453125000000003	-85.86625537127074	0.320125	12.099999999999996	0.4839999999999998	-18.550937051615982	6.042649999999998	0.4625	0.5113636363636365	6.4750000000000005	5.625000000000001
